Equipment Description,Model,Problem,Initial Diagnosis,Work Done
7 Parameters Bedside,C50,Issue,"Unable to turn on the system, power on button was not working.&nbsp;","The issue was identified with the power button due to the improper alignment of the rubber component. After realigning the rubber correctly, the machine returned to full operational functionality."
,TE-LM730N02,Issue,Non power and not working.,Power board was checked and found no issue. But the IC wasn't responding to the initate the display power on.
,TE-LM730,Issue,Air in line issue,Syringe pump was checked and found the issue was due to non-compatible IV set. Compatible iv set was adjusted and problem was solved.
,LM730N0E,Issue,Requested for checkup.,Equipment was subjected to IV set and Equipment functionality was checked.
,TE-LM730,Issue,Syringe Pump was nonfunctional due to continuous alarm.,Upon inspection found the issue of Air in line was persist due to non compatible IV set.
,s7,Issue,Unresponsive display,Upon inspection found that the display hinge was broken.
5 Parameters Bedside,IT 12,Issue,The device needed pre operational tests,Inspected and found out the device is working fine but needs ECG cable and AC cable
,EN-V7 Smart,Issue,No battery backup,Battery was inspected found it was completely depleted.
,N/A,Issue,No battery backup,Inspected battery found depleted completely.
,N/A,Issue,No battery backup,Battery was depleted and need to replace the battery.
7 Parameters Bedside,iT12,Issue,The device needed pre operational tests,Performed pre operational tests and the device needs few accessories
,i7,Issue,Unable to load the program.,Equipment was inspected and reset al the wiring. Yet it still failed to load the program. comcluded software update is required.
General Adult/Pediatric,VG70,Issue,The equipment does not have air filter and needs new filter. O2 Voltage low alarm persistent,Performed the preoperational tests and found out the oxygen sensor expired.&nbsp;
,S7,Issue,Syringe Pump was on functional state.,Machine was checked its display was broken with damaged ribbon cable.
,S7,Issue,Syringe Pump was on functional state.,"Machine was checked its display was broken, showing battery error and motor error"
,MS 31,Issue,Syringe Pump was on functional state.,"Machine was checked its display was unresponsive, showing battery error."
,MS31,Issue,Syringe Pump was on functional state.,"Machine was checked its display was broken, showing battery error"
,MS31,Issue,Syringe Pump was on functional state.,"Machine was checked its display was broken, showing battery error"
,EN-S7,Issue,The equipment does not provide battery backup,Inspected and found out the battery to be drained below knee voltage and needs replacement
5 Parameters Bedside,BSM2301K,Issue,Monitor was in nonfunctional state.&nbsp;,While assessing there was no battery backup.&nbsp;The monitor was un responsive to touch.&nbsp;ECG port was missing too.
5 Parameters Bedside,AV-S,Issue,The vitals did not show on the main screen,Inspected and found out the Vitals Module was not aligned with the socket accurately. the portable module was rebooted.
ENT,Xpert ENT,Issue,Microscope Monitor not turning on,"Initially, the issue was inspected and identified as a power supply problem caused by a disconnected jack. The jack was not properly connected to the monitor port due to a faulty jack lock. The jack was then directly connected to the monitor, resolving the issue. Now, the machine is fully functional."
,Fabius GS premium,Issue,Self test not passing and Tidal volume accurately not delivered,"Performed the device and leak/compliance test, the expiratory valve was cleaned as well restoring the functionality of the device"
General,Affiniti 50C,Issue,The Gain button on the control panel did not function accurately.,The suspected faulty button was accessed and cleaned from within. The problem still persists.The replacement of board is recommended for solving the issue.
Ultrasonic Aspirator,UST-2001,Issue,Machine was in non operational state due to no irrigation function.,while assessing found that the irrigation tubing was stuck inbetween the &nbsp;pump that hindered the working mechanism of the Machine. The issue was resolved successfully and reinserted the tubing with correct orientation. Along with that operational guidance was provided to the respective shift Nurse. Machine is now fully functional for clinical use.
7 Parameters Bedside,AnaVue 4000 ,Issue,Absence of physiological parameter display on the monitor&nbsp;,"The AnaVue 4000 patient monitor &nbsp;failed to display vital physiological parameters. Investigation revealed that the Peripheral Interface Module (PIM) inability to establish operational status. The PIM's physical connectivity was verified, and the interface was reseated, ensuring proper data transmission integrity. Furthermore, the PIM's internal power storage cell's (battery) voltage was assessed and determined to be within the operational range. PIM reconnection and initialization, the monitor successfully resumed displaying all physiological parameters, restoring full operational functionality."
,endomat LC 203303 20,Issue,Irrigating pump was in nonfunctional state.,"Upon inspection, the peristaltic pump's irrigation tubing was discovered to be too short, hindering proper function. The tubing's dimensions were measured, and it was replaced with a correctly sized tube. Post-repair, the pump was tested, demonstrating appropriate irrigation flow rates, and is now fully functional for surgical use."
12 channel,Cardiovit AT-2 plus,Issue,ECG Machine was nonfunctional due to Fallen Key pad.,While assessing Machine it's key pad was completely detached from its position that hinder the functionality of the Machine. &nbsp;The keypad was reposition firmly. Machine is powered on and restored the functionality.
General Adult/Pediatric,crius V6,Issue,The device did not turn on.,"&nbsp;Inspected and found out the connection to the display unit form the device was not aligned, realigned the connections and the device pre operational test were performed restoring the functionality of the ventilator."
General,OBS-350A,Issue,Patient Plate was not functional,"The electro surgical Unit Patient plate was reported faulty, upon inspection it was found that the wire were discontinuous, rewired the connections making the Plat functional."
5 Parameters Bedside,C80,Issue,Monitor unable to display other parameters except NIBP,"Firstly all the module settings were adjusted, software was reinstalled and rebooted the system. Further all the board were crossed checked and identified the issues with 7 parameters processing board. The faulty board was replaced. The issue has been resolved. Monitor is now showing all parameters effectively."
5 Parameters Bedside,C80,Issue,No ECG reading,Patient Monitor was unable to record the ECG graph. Settings were adjusted and the system was rebooted. Afterwards ECG graph recording was obtained successfully.
Echo,SONIMAGE HS1,Issue,Ultrasound was in nonfunctional state for long period of time.,Ultrasound was unable to power on. So we assess the power adapter that adequately delivered 24v yet machine failed to power on. Further internal board were assessed and found 3 capacitor and cable connection pin had some debris deposition which hinder the proper communication between the power board and main board. The deposition was cleaned properly.Capacitor value were checked and found within the range. Other required general maintenance was performed.Along with that working of 3 &nbsp;probe &nbsp;were also checked. Machine was powered on successfully and made functional.
Echo,SONIMAGE HS1,issue,Unit's stand was broken by the staff's carelessness.,"Upon inspection, the three screws of the base holding the whole unit were broken. The unit was then disassembled and the roken screws were taken out by drilling with the help of maintenance team. After securing the base with new screws, the issue has been solved.&nbsp;"
12 channel,MK1212A,issue,Unable to print the paper,Upon inspection found that printer roller was within the printer compartment which hinder the printing process.&nbsp;So the issue was resolved along with that working of lead was also verified.
7 Parameters Bedside,c80,issue,No battery backup.,The battery was replaced in the problematic patient monitor. The machine is now fully functional.
,SC-SX19-A1511,issue,&nbsp;The display had fallen from its original position.,"Initially inspected the device and found a loose nut. Tightened it back to its original position. Now, the machine is fully functional."
General Adult/Pediatric,SAVINA 300,Issue,&nbsp;The breathing Circuit test did not pass and the machine was in non-Functional condition,"&nbsp;Inspected and found out the expiratory valve diaphragm had crystals deposited from the patient side, the deposit and debris were cleared and the breathing Circuit test passed successfully."
Portable,Mars 4.2,Issue,The device required preoperational tests.,&nbsp;Inspected and found out the Ni-Mh batteries were drained. And needs replacement.
5 Parameters Bedside,BSM3562,Issue,NIBP wasn't working.,"A leak was located near the BP cuff connection. The leaking section of tubing was removed and reconnected, and the NIBP was successfully tested and returned to full operation"
Pre-vacuum,24SR/E/NAT 8/FWP,Issue,Autoclave was nonfunctional,"While assessing the Machine found that the motor wasn't working. The damage motor was repaired within the biomedical department. After repairing the Motor, the Autoclave Machine was set &nbsp;and made the Autoclave Machine fully functional."
5 Parameters Bedside,C80,Issue,Continuous alarm caused &nbsp;Alaram fatigue.,"While assessing the issue &nbsp;""BIS communication stop "" was on display and continues showed the alarm. Required maintenance setting was adjusted and Alarm was removed. &nbsp;Monitor is fully functional for Monitoring."
7 Parameters Bedside,H9,Issue,Monitor unable to measure the NIBP.,Upon inspection found that the pump wasn't working. Malfunctioned &nbsp;pump was replaced from another monitor having issue with software initialization. Monitor is now fully functional by showing all parameters.
General Adult/Pediatric,Avea,Issue,Ventilator was not functional.,"Problem was assessed, Initially leakage test and Circuit Compliance test failed so required general maintenance was performed. And test passed the Extended Test. The ventilator is made fully functional for use."
Pre-vacuum,24SR/E/NAT 8/FWP,Issue,The Machine failed to power down while switched off.,"We assess the problem, checked the switch and found to be good. The contractor which was supposed to be trigger wasn't triggering while switching. Further Contractor was checked and found the deposition of the debris within the contacting points. Those debris were cleaned thoroughly. &nbsp;Contractor was reconnected and checked the functionality. Now, Autoclave can be easily turned off as intended."
General with Neonatal,NKV550,Issue,"Unable to pass the O2 cell, Exhalation Valve(PEEP)","The company individual performed the test, crossed verified the exhalation valve. yet the issue persists."
,TMX428220,Issue,TMT wasn't working,Upon inspection found that error message was on display(Treadmill Fail).The error message was resolved after the communication cable was configured. TMT is now fully functional for clinical use.
General,,Issue,Wheel was broken,"Suction Machine had wheel issue and the connections were broken, the wheel was aligned and the connections were restored"
,,issue,Treatment Unit was non operable.,There was no movement of dental unit from hand switch and leg switch. So the connection to leg switch and hand switch were assessed and resolved the issue. Treatment unit is now fully operational for clinical use.
5 Parameters Bedside,SVM-7623,issue,NIBP wasn't working,"A leak was located near the BP cuff connection. The leaking section of tubing was removed and reconnected, and the NIBP was successfully tested and returned to full operation"
General,SAI Liife,issue,Reported that enough suction wasn't detected.,The issue was addressed and found to be operational. Operational guidance was provided to nurse.
,Tricam SL II,issue,No Video while doing OT,"The video feed in the OT was not working. After troubleshooting, it was discovered that the Image 1 S H3 link system was not receiving power. The power connection was re-established, and the video display returned to normal operation."
,,issue,No fumes,Filter were cleaned
,NA,Issue,Switch was not working,Switch was resoldered properly. machine is working .
,,Issue,Not proper mist formation.,"Tubes were clogged , which was then cleaned and the machine is working smoothly."
,Piston Compressor,Issue,No power On.,Wiring was rewired and the machine was functional.
General,GXR-32S,Issue,Portable Xray was non functional.&nbsp;,Upon inspection found that the wiring were cut by Mouse. The disconnected hand switch was rejoined and restored the connection. The disconnected LAN Cable wire were replaced and made the machine functional.Emergency Xray is now fully functional.
General with Neonatal,NKV550,Issue,Unabel to pass the leak test,"While assessing the ventilator multiple problem were encountered and resolved accordingly,clog diaphragm were cleaned properly. Inhalation port valve were recenter properly. General maintenance was performed accordingly. Ventilator was calibrated and made functional"
5 Parameters Bedside,H9,Issue,Unabel to detect the Saturation probe.,Upon inspection found that the SPO2 connecting port was completely inserted inside the Monitor. The port was rearranged to is original position and tested the machine successfully. The monitor is fully functional for use.
7 Parameters Bedside,CMS8000,Issue,Monitor wasn't functioning properly.,All monitor were assessed properly. Required settings were adjusted and Checked the functionality of all the parameters.
7 Parameters Bedside,CMS8000,Issue,Monitor wasn't functioning properly.,All monitor were assessed properly. Required settings were adjusted and Checked the functionality of all the parameters.
7 Parameters Bedside,CMS8000,Issue,Monitor wasn't functioning properly.,All monitor were assessed properly. Required settings were adjusted and Checked the functionality of all the parameters.
7 Parameters Bedside,CMS8000,Issue,Monitor wasn't functioning properly.,All monitor were assessed properly. Required settings were adjusted and Checked the functionality of all the parameters.
7 Parameters Bedside,CMS8000,Issue,Monitor wasn't functioning properly.,All monitor were assessed properly. Required settings were adjusted and Checked the functionality of all the parameters.
7 Parameters Bedside,CMS8000,Issue,Monitor wasn't functioning properly.,All monitor were assessed properly. Required settings were adjusted and Checked the functionality of all the parameters.
,NA,ISSUE,Unable to power on,"A corroded connector, caused by water exposure, was preventing the machine from powering on. After cleaning the corrosion and repairing the connector's locking mechanism, the machine was restored to working order."
,Cios Select,Issue,Reported that CArm unable to power on.,"Machine was assessed properly. Reset all the connection,performed the required general maintenance.we &nbsp;observed the performance of CArm in different dose and different modes too. CArm worked smoothly. Following the test it was used consecutively &nbsp;in two surgery without any intervention."
,A-81,issue,Unable to power on,while inspection found that there was broken connection. Broken connection was reset and made the machine functional.
,Innospire Essence,Issue,Fan was not operating properly.,"Upon inspection, the motor assembly stand was broken, which was then fixed.Then the fan was operating smoothly."
,ZC-9200A,Scaler wasn't functioning&nbsp;,Scaler wasn't functioning&nbsp;,"Upon inspection we identified that &nbsp;scaler was functioning properly after cross verification. After that power board was assessed,which revealed that there was no voltage supply to the end of scaler. &nbsp;The faulty connection was traced and &nbsp;restablished the voltage connection.&nbsp;"
,ZC-9200A,Issue,Insufficient air pressure from hand piece.&nbsp;,While assessing the problem found that huge leakage sound was observed. The leakage point was identified and &nbsp;reconnected the pipe firmly. Enough pressure is obtained after reconnection.
General Adult/Pediatric,AVEA,Issue,Ventilator was is not working state.&nbsp;,Upon inspection found it has the Alaram of low fiO2. We confirm the supply of Oxygen from wall and calibrated the Oxygen. Extended Test Passed was performed with positive result of leakage test and O2 calibration. The clogged Air filter were cleaned too. Machine was operated in different modes of ventilation and observed the performance. It is now functional
,MS31,Issue,Automatic on and off of the machine.,Battery voltage was measured and found to be depleted. So we kept the machine in charge &nbsp;for whole night yesterday and rechecked the voltage of the Battery and it was within the acceptable range. Further Syringe was loaded and checked the functionality of the Pump.
,MS31,Issue,Broken Display and &nbsp;no response of &nbsp;touch.,The broken display was &nbsp;replaced and made functional.Syringe pump is ready to use.
,s7,Issue,Syringe pump was not functional. The Hinge of display &nbsp;was broken due to physical damage.&nbsp;,The broken hinge of display was replaced from the discarded syringe pump. Equipment is made functional.
Pre-vacuum,P227C/V/W/A,Issue,Autoclave wasn't working.,"Upon inspection, it was found that multiple wires were broken. Few wires were traced and rejoined yet the issue still persists. Follow up is in progress."
General,SAI Liife,Issue,The equipment wheel was misaligned and device didn't turn on,"Inspected and aligned the wheels, also the equipment three pin connections were restored."
Single Head,PD,Issue,The machine was non-functional.,"The issue was identified as an unset program and incorrect parameter configuration. Necessary adjustments were made, and the system's functionality was thoroughly checked and verified in collaboration with Dr. Sameer Paudel. However, a syringe seems to be missing which needs to be managed inorder to operate it to the patient."
Pre-vacuum,24SR/E/NAT 8/FWP,issue,The machine was non-functional.,"The heater coil was assessed and found to be in good condition. The degraded electrical section and wiring behind the display were repaired, and blown fuses were identified and replaced. As a result, the display, which was not powering on earlier, has been successfully restored. However, the door, which has not been locking properly, requires further attention, and additional investigation and maintenance are needed to ensure the overall functionality of the autoclave."
,HF49R,Issue,The machine was non-functional.,"During inspection, it was found that the exposure function was operating correctly; however, the control panel keypad buttons were unresponsive, and the UP and DOWN movements were not functioning. After troubleshooting, both issues were identified and successfully repaired, restoring full functionality to the control panel and movement controls."
Extracorporeal Shockwave Lithotripsy (ESWL),Urolith,Issue,The machine is non-functional.,"The ESWL Urolith machine was tested with all relevant parameters, and the shock delivery functioned effectively. However, to verify its functionality on a patient, a new electrode, new membrane, and distilled water are required."
,MS31,Issue,Battery Error &nbsp;Alarm,The battery voltage was measured and found to be depleted. Battery was replaced from the pump having screen problem.Machine is fully functional.&nbsp;
Electric,,Issue,"The OT Table only moves vertically, either up or down, with no other directional adjustments possible.","Inspected the remote control, motors, and actuators for faults. It was determined that two servo motors responsible for side adjustments were faulty. Multiple repair attempts revealed irreparable coil issues, necessitating motor replacement to proceed with maintenance and restore full functionality."
,Piston Compressor,Issue,Equipment was in non-operational state.,All the components were examined and found that the internal valve were completely broken. Repair attempt were conducted but failed to function fully.
,EN-S7 Smart,Issue,Previously diagnosed as nonfunctional.,Upon inspection found that the issue was related with the power board. The power board was replaced from the non-function pump .
,EN-S7 Smart,Issue,Previously diagnosed as nonfunctional.,Upon inspection found that the issue was related with the power board. The power board was replaced from the non-function pump .
,,Issue,Equipment was diagnosed as nonfunctional.,The nonfunctional nebulizer was assessed found that the position was misplaced from the position. Position was correct and made the machine functional.
,MP-60A,Issue,Machine was nonfunctional.,Inspected and found that the issue with the power on. The issues were resolved and made functional.
,MP-60A,Issue,It was previously diagnosed as non functional.,Our inspection revealed that the machine was non-operational due to stiff door. And Door alarm. The issue was resolved and made functional&nbsp;
,Benefusion VP3,Issue,Machine was in non operational state.,Upon inspection found that the machine had issue with power on. Battery was depleted completely. It was kept in charge for overnight and made the machine functional.
,Benefusion VP3,Issue,Machine was in non operational state.,Infusion pump was inspected and Checked the battery and found to be in normal range. General maintenance was performed.Pump is fully functional.
,ROYTECH5,Issue,The device not turning on,"Inspected and found the wiring loose, rewired the power supply making the device on ."
-80,YSI/YSPL-273 Ex,Issue,The freezer did not maintain temperature at -80° C.,Inspected and found out the device had main chamber temperature of 45° C. Upon further inspection the dual compressor system had one compressor not working as the piston broke inside the compressor and also the cooling reagent was leaking from inside of compressor. The gas refregrant needs refilling in both the compressor.
General Adult/Pediatric,VG70,issue,Leak test failed,Ventilator was assessed and leak test was performed yet failed. Upon inspection found that the leak was from inspiratory port. Which was sealed taped.&nbsp;
General Adult/Pediatric,VG70,Issue,Ventilator had no battery back up and was in non operating state.,"Battery voltage was tested and found to be depleted. Battery was replaced from other non functional ventilator having issue with O2 sensor.All other test were performed. &nbsp;Following up o2 sensor test was passed,flow sesnor was passed. &nbsp;Machine is made fully functional."
,,Issue,The device not turning on.,"Inspected and found the wires to be broken, the three-pin top was replaced correcting the wirings."
,,Issue,Nebulizer Motor shaft was broken.&nbsp;,Broken Motor shaft was firmly reconnected restoring the full functionality.
Dental,CS2100,Issue,Dental HOD reported Xray View Box wasn't glowing.,We inspected and found Adapter to be faulty after cross verification. The adapter was replaced and made the machine functional.12 V 5 Amp Adapter used.
General,,Issue,The suction speed was very low.,"Upon inspection, it was found that the tube was clogged with dirt, restricting the airflow. The tube was thoroughly cleaned, and general service maintenance was performed. After the cleaning and servicing, the suction machine was tested and confirmed to be working efficiently."
,,Issue,"The hydraulic system was not working, Observation light and X-ray view box not working too.","Inspected and found out the live wire at power supply was discontinuous, rewired the power supply wires mitigating the issue."
,C-1,Issue,The device wasn't responding to the command of welding switch. &nbsp;,"During inspection, the welding machine was powered on and displayed all parameters, however, the welding button was unresponsive. The base plate was found to be loose. After securely reattaching the base plate, which is essential for establishing a proper connection between the welding plates, a test weld was conducted successfully on two wires. The machine was confirmed to be fully functional.&nbsp;"
General,Surgix,issue,The machine was not performing the suction mechanism.,"Upon inspection, it was found that the tube was not properly attached to the &nbsp;filter, causing a disruption in the suction process. The tube was securely reattached and taped to ensure a proper seal. After the fix, the machine was tested and is now working fine."
,MBK OC NO 0886/11,Issue,The three way syringe did not have the water supply.,Inspected and found out the three-way syringe to be clogged. The clog was removed restoring the functionality of the three-way handpiece.
,MBK OC NO 0886/6,Issue,The treatment unit was nonfunctional as there was no movement of hydraulic from push button.&nbsp;,Upon inspection found machine was partially functional with the foot switch. The wore out pushbutton were replaced and made the machine fully functional.&nbsp;
,EP3010,Issue,The Furnance was not Heating.,"Upon inspection, it was found that the continuity of the heating circuit was broken due to a disconnected wire. The wire was securely resoldered to restore the connection. After repair, the furnace was tested and confirmed to be functioning properly."
,ZC-9200A,Issue,The hydraulic control panel was not responding.,Inspected and found out the push button switch was faulty that was replaced bringing back the device to function.
,Cios Select,Issue,"The device did not expose, and device was taking time to boot up.",The Console to Monitor connector was cleaned and the connections were firmly secured. The device booted up quickly.
General Adult/Pediatric,VG70,Issue,Battery depleted beyond recharge and repair,Verified the depletion of the battery
General Adult/Pediatric,VG70,Issue,Internal Battery Calibration Required,Calibration of the battery done.
General Adult/Pediatric,VG70,Issue,Battery drained completely with no backup and unable to charge.,Recharged the battery in the ventilator for &gt;45 minutes to resurrect the battery.
General Adult/Pediatric,VG70,Issue,Leakage during start-up self test.,Cleaned the diaphragm of the exhalation valve.
General Adult/Pediatric,VG70,Issue,Unit displays battery calibration required .,"The battery was fully charged &nbsp;to 100%, then removed it for 2 hours to allow it to calibrate to a fully charged state; next, reinserted the battery and used it until the ventilator automatically shuts off, fully draining it; removed the battery again for 3 hours to calibrate to a fully drained state; after 3 hours, recharged the battery to 50% to clear any low battery alarms; finally, the battery was ready for normal use."
,DS 24,Issue,The machine was in nonfunctional state.&nbsp;,Broken Motor shaft was firmly reconnected restoring the full functionality.
General Adult/Pediatric,VG70,ISSUE,Unit displays Battery Calibration required alarm,"The battery was fully charged &nbsp;to 100%, then removed it for 2 hours to allow it to calibrate to a fully charged state; next, reinserted the battery and used it until the ventilator automatically shuts off, fully draining it; removed the battery again for 3 hours to calibrate to a fully drained state; after 3 hours, recharged the battery to 50% to clear any low battery alarms; finally, the battery was ready for normal use."
,Cios Select,Unable to load the software every single time.&nbsp;,Unable to load the software every single time.&nbsp;,Clean the workstation PC and its RAM and performed its test multiple times and software runs perfectly afterwards.
Pre-vacuum,24SR/E/G,ISSUE,Heating filament issue.,The filament was replaced and the machine was working smoothly.
,BIOSONIC S1,Issue,Scaling unit was not working.,"Upon inspection, it was found that the scaler wire connection was disconnected. After reconnecting the wire properly the machine was fully functional."
,BIOSONIC S1,Issue,The scaler was not working.,"Upon inspection, the scaler switch wire was not connected. After reconnecting the wire, the scaler was working properly."
,Lumis,Issue,Medical staffs were unable to use the machine propelry.,"Upon the department incharge request, a proper operational training was given to all the doctors and nurses."
,MBK OC NO 0886/11,Issue,The motor footswitch was not functional.,"Upon inspection , it was found that the foot switch connection needed to e soldered. After performing necessary action, the ,machine is operating fully."
,BIOSONIC S1,Issue,The water source was reported to be non-functional.,"Upon inspection, it was a simple operational issue where booster was not turned on. After giving a proper training to the staff, the issue has been solved ."
5 Parameters Bedside,SureSigns VM8,Issue,The monitor need to be shifted.,"The department was under maintenance, so the monitor was shifted to the new room."
5 Parameters Bedside,H9,issue,The monitor need to be shifted.,"The department was under maintenance, so the device was shifted and reinstalled to the new department."
7 Parameters Bedside,H9,issue,Monitor need to be shifted.,Monitor was shifted to another room on incharge request.
5 Parameters Bedside,SureSigns VM8,Issue,Monitor need to be shifted .,Monitor was shifted and verified on incharge request.
5 Parameters Bedside,N/A,Issue,Monitor need to be shifted.,Monitor was shifted and verified.
7 Parameters Bedside,H9,Issue,Monitor need to be shifted.,Monitor was shifted and verified.
5 Parameters Bedside,H9,issue,Monitor need to be shifted.,Monitor was shifted and verified.
5 Parameters Bedside,H9,Issue,Monitor need to be shifted.,Monitor was shifted and verified.
5 Parameters Bedside,CMS8000,Issue,Monitor need to be shifted.,Monitor was shifted and verified.
,A-81,Issue,The machine was not powering on.,"The switch was not functioning. After replacing the switch with new one, the machine was functional."
,,Issue,The power cord was damaged.,The damaged portion was fixed and the machine is operating smoothly.
,Smart NeB,Issue,Equipment was in non operational state.,All the components were examined and found that the internal valve were completely broken. Repair attempt were conducted but failed to function fully.
,CN 10,Issue,The fan was broken.,"The fan was broken from another non-functional device. After replacing, the machine was functional."
,,Issue,Switch was not working.,Switch was replaced and the machine is working.
,NA,issue,Piston was displaced.,"The motor was not forming the mist as the piston was displaced. After correcting it's placement , the machine is working properly."
,NA,issue,The motor was not working properly.,The piston was cleaned and the motor was functioning properly.
,NA,Issue,Three pin was damaged.,The three pin was repaired .
,Smart NeB,issue,The nozzle was damaged .,The broken nozzle was fixed properly.
,,Issue,The machine was in nonfunctional state.&nbsp;,Broken Motor shaft was firmly reconnected restoring the full functionality.
16 Slice,MX16,issue,The machine was not powering on.,"Upon inspection, the USP power backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily."
,,Issue,Three pin issue.,Three pin wire was damaged which was then repaired.
,CN 10,issue,Unable to form mist.,"Upon inspection, the tubes were dirty and clogged which was then cleaned properly."
,Prima 450,Issue,Display showing white screen.,"The anesthesia machine was reported to have a white display issue. Upon inspection, it was found that the display signal was interrupted due to a loose internal connection. The display connections were reset and secured properly. After reassembly and testing, the display was restored to normal, and the machine is now operating correctly."
,Prima 450,Issue,Circuit leakage,"During inspection, leakage was found in the expiratory port. The port was tightened, and the leakage has been resolved. The machine is now ready for use."
,PRISMA 450,Issue,Reported to be non-functional.,"During inspection, it was found that the machine failed the leakage test, indicating a high level of gas leakage. Further examination revealed that the issue was due to improper positioning of the bellows and canister. After carefully adjusting and securing both components, the leakage problem was resolved. The machine has now passed the leakage test and is functioning properly."
,PRISMA 450,Issue,Tidal volume not delivered accurately.,"During inspection, leakage was found in the breathing circuit and CO₂ absorber. The leak was rectified, and the machine is now ready for use."
,Prima 450,ISSUE,High leakage,"During inspection, it was found that the washer was broken and the bellow was not tightened properly. After temporarily fixing the washer and adjusting the bellow position properly, it passed the leakage test.The machine is now fully functional."
,PRISMA 450,Issue,&nbsp;Circuit leakage,"During inspection, leakage was found in the CO₂ absorber box. The box was tightened, and the leakage has been resolved. The machine is now ready for use."
16 Slice,MX16,Issue,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
16 Slice,MX16,Issue,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
16 Slice,MX16,issue,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
16 Slice,MX16,Issue,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
16 Slice,MX16,Issue,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
16 Slice,MX16,Issue,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
16 Slice,MX16,Issue,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
16 Slice,MX16,Issue,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
1.5 Tesla,Achieva 1.5T,issue,"The inverter for the MRI was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the MRI system from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which temporarily restored inverter functionality. After the reset, the inverter powered on successfully, and the MRI resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
1.5 Tesla,Achieva 1.5T,Issue,"The inverter for the MRI was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the MRI system from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which temporarily restored inverter functionality. After the reset, the inverter powered on successfully, and the MRI resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
1.5 Tesla,Achieva 1.5T,Issue,"The inverter for the MRI was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the MRI system from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which temporarily restored inverter functionality. After the reset, the inverter powered on successfully, and the MRI resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
