Equipment Description,Manufacturer,Model,Problem ,Work Done 
USG Machine,Samsung,Medico,Printing problem,"During inspection, it was observed that the ultrasound report prints were unclear in certain sections, even though the displayed images showed no such artifacts. The printer assembly was examined and found to have significant dust accumulation on both the thermal head and the roller. Additionally, the paper had become partially jammed between the roller, which further contributed to the printing defect.

The thermal head and roller were thoroughly cleaned, and the jammed paper was removed. After reassembling and testing, the print quality was restored, producing clear and accurate reports. The ultrasound machine is now operating normally and has been verified to be fully functional."
Patient Monitor,Schiller,TRUSCOPE Ultra Q7,SpO₂ reading not displayed on the patient monitor,"On inspection, it was observed that the SpO₂ probe’s red LED illuminated intermittently, even when securely connected to the monitor. To verify, the monitor was tested with a known functional SpO₂ probe, which displayed accurate readings without issue. 

The faulty probe was replaced with a new, functional one. Following replacement, the SpO₂ readings were displayed correctly on the patient monitor."
Patient Bed,,,Reported to be non-functional.,"Upon inspection, it was found that the remote control unit had been completely disconnected from the power board due to disconnected cable, which resulted in the bed being non-operational. The disconnected wires were securely reconnected, and continuity testing was carried out to confirm proper electrical connections.

After reconnecting, the remote control was able to trigger the relay; however, the bed movement remained restricted. All the connections to the power board were reseated. Following this step, the remote control became fully responsive, and the bed’s adjustment functions were restored."
Patient Bed,,,Remote control unresponsive.,"Upon inspection, it was found that the remote control unit had been completely disconnected from the power board due to disconnected cable, which resulted in the bed being non-operational. The disconnected wires were securely reconnected, and continuity testing was carried out to confirm proper electrical connections.

After reconnecting, the remote control was able to trigger the relay; however, the bed movement remained restricted. All the connections to the power board were reseated. Following this step, the remote control became fully responsive, and the bed’s adjustment functions were restored."
Syringe Pump,Smiths Medical,Graseby C9,The device was reported to power on and off automatically during operation.,"The syringe pump was inspected following complaints of intermittent shutdown. Initial assessment revealed that the internal battery was completely depleted, which caused the device to power off unexpectedly when disconnected from the AC supply.

After charging, the device powered on but displayed a “transmission error” during functionality testing. Further diagnosis traced the fault to the syringe plunger mechanism. On disassembly, it was found that the internal gear mechanism responsible for plunger movement had become displaced from its proper alignment. The gear was repositioned correctly, and all internal connections were secured.

Following reassembly, the unit underwent comprehensive functionality testing. The transmission error did not reoccur, and the syringe pump operated reliably across multiple test cycles"
Patient Bed,,,Reported to be non-functional.,"Upon inspection, it was observed that while the remote successfully triggered the relay, the bed did not respond to movement commands. After resetting the connections, most bed adjustments were restored; however, the head section remained immobile.

Detailed examination revealed that the manual locking mechanism had been engaged, restricting head section movement. Once the lock was released, the head section resumed normal operation. 

The bed was subsequently tested, and all functions were confirmed to be working properly."
Defibrillator,Philips,Efficia DFM100,Operational check.,"The defibrillator was reported with a maintenance indicator displayed on the screen. A detailed operational check was carried out to verify the performance of the device. The unit successfully completed all self-tests and functional assessments, including charging, energy delivery, and ECG monitoring verification."
Refrigerator,Haier,HRF-268HS,Reported to be non-functional.,"The fridge temperature was below the required temperature to store reagents in teh store. The temperature regulator had been set to the lowest point due to which the temperature was set low. After adjusting the temperature regulator setting, the temperature was maintained between 2 to 8 degree celsius. Additionally, the temperature was also monitored using the calibrated thermometer, which also further confimed that the temperature was maintained as per the requirement."
Refrigerator,Haier,,Reported to be non-functional.,"The fridge temperature was below the required temperature to store reagents in teh store. The temperature regulator had been set to the lowest point due to which the temperature was set low. After adjusting the temperature regulator setting, the temperature was maintained between 2 to 8 degree celsius. Additionally, the temperature was also monitored using the calibrated thermometer, which also further confimed that the temperature was maintained as per the requirement."
Refrigerator,Haier,,Reported to be non-functional.,"The fridge temperature was above the required temperature to store reagents in teh store. The temperature regulator had been set to the maximum point due to which the temperature was set high. However, even after adjusting the temperature regulator setting, the temperature was still at 20 degree celsius. The fault was with the temperature regulator as the compressor was working. The fault in the regulator was addressed after which the temperature was maintained between 2 to 8 degree celsius.  Additionally, the temperature was also monitored using the calibrated thermometer, which also further confimed that the temperature was maintained as per the requirement."
Refrigerator,,,Reported to be non-functional.,"The temperature in the deep fridge was at 2 to 5 degree celsius which was way above the temperature to be maintained in the deep fridge. The temperature regulator was set at the lowest point still the temperaure was high. The compressor and temperature regulator were functional. However the refrigerant was stuck at a point (choking), due to which the temperature could not be maintained. After addressing the issue, the temperature issue was resolved. Additionally, the temperature was also monitored using the calibrated thermometer, which also further confimed that the temperature was maintained as per the requirement."
Refrigerator,,,Reported to be non-functional.,"The fridge temperature was below the required temperature to store reagents in teh store. The temperature regulator had been set to the lowest point due to which the temperature was set low. After adjusting the temperature regulator setting, the temperature was maintained between 2 to 8 degree celsius. Additionally, the temperature was also monitored using the calibrated thermometer, which also further confimed that the temperature was maintained as per the requirement."
Ventilator,Hamilton,C1,Failed leak test.,"The pre-operational test was performed however, the leak test failed. The exhalation valve was inspected and found that a significant amount of residue had been accumulated in the exhalation valve and diaphragm. This led to incomplete seal. After cleaning the diaphragm and the valve, the pre-operational test was performed. The leak test passed successfully."
Ventilator,Hamilton,C1,Failed leak test.,"The pre-operational test was performed however, the leak test failed. The exhalation valve was inspected and found that a significant amount of residue had been accumulated in the exhalation valve and diaphragm. This led to incomplete seal. After cleaning the diaphragm and the valve, the pre-operational test was performed. The leak test passed successfully."
Syringe Pump,Smiths Medical,Graseby C9,Syringe plunger open alarm,"Upon receiving the complaint, the syringe pump was inspected for the reported “syringe plunger open” alarm. The unit was disassembled, and mechanical inspection of the plunger mechanism revealed that the internal gear had been displaced from its proper position, preventing the secure engagement of the syringe plunger.

The gear mechanism was realigned and reassembled carefully to ensure proper movement and locking of the plunger assembly. Once reassembled, the syringe pump was powered on, and functional tests were conducted. The alarm no longer appeared, confirming that the issue had been resolved.

The syringe pump is now fully functional."
Nebulizer,Niscomed,NB-117,Device not powering on.,"The nebulizer was reported as non-functional, with no power when switched on. Initial inspection confirmed that the device would not turn on. A detailed wire and power circuit inspection was performed.

During examination, it was found that the internal power wire was disconnected, preventing electrical flow. The wire was reconnected securely, restoring power to the device. Additionally, the air filter was checked and found to be dirty; it was cleaned thoroughly to improve airflow and performance.

After corrective actions, the nebulizer powered on and produced proper mist output. The device is now fully functional."
Syringe Pump,Smiths Medical,Graseby C9,System Error 09 displayed,"Upon receiving the complaint regarding the syringe pump showing ""System Error 09,"" the unit was inspected. Initial assessment confirmed the error during startup.

To address this, all internal cable connections were disconnected and reconnected to ensure proper contact and reset the system. This procedure cleared the error and restored the normal initialization process.

After reassembly and testing, the syringe pump operated without errors and delivered accurate performance under standard conditions.

The syringe pump is now fully functional."
Nebulizer,Niscomed,NB-117,Device not powering on.,"The nebulizer was reported as non-functional, with no power when switched on. Initial inspection confirmed that the device would not turn on. A  internal inspection was carried out.

It was found that the wire connected to the power switch was disconnected, which interrupted the power supply. The wire was reconnected securely. Additionally, lubrication was applied to the necessary moving parts to ensure smooth operation.

After corrective actions, the nebulizer powered on successfully and produced proper mist output. The device is now fully functional."
Nebulizer,Optima Care,,No mist production,"Upon disassembly of the device, it was observed that while the motor was operational, the fan was not rotating. Further inspection revealed that the connecting screw between the motor and piston had come loose, causing the piston to remain stuck in a fixed position, thereby preventing mist generation. The screw was tightened securely, and both the motor and fan components were lubricated to ensure smooth operation. After reassembly, the nebulizer was tested and confirmed to be producing mist effectively."
Infant Radiant Warmer,Shreeyash,,Warmer not providing sufficient heat,"The Infant Radiant Warmer was inspected following a complaint that it was not producing adequate heat. Upon evaluation, the device was found to be functioning but was significantly reducing heat output after reaching a certain temperature threshold.

The warmer was operating in Servo Skin Mode, in which the device automatically regulates heat output based on the infant’s skin temperature relative to a user-defined set point. It was observed that the set temperature had been configured to 32.5°C, which is below the standard target for neonatal care. As a result, the warmer appropriately reduced heating once the infant's skin temperature approached the low set point, leading to perceived underperformance.

In accordance to nursing staff, the set temperature was adjusted to 36.5°C, which aligns with typical clinical requirements for neonatal warming. After updating the set point, the warmer responded appropriately by increasing and maintaining adequate heat output."
Syringe Pump,Smiths Medical,Graseby C9,"Device non-functional; automatically turning off
","Upon inspection, it was found that the device was shutting down automatically due to a completely depleted internal battery. The syringe pump was connected to a power supply and fully charged. After restoring power, the device powered on successfully.

Further functional testing revealed that the syringe plunger was not moving smoothly during operation. Upon disassembly and inspection of the mechanical components, it was determined that the plunger mechanism was experiencing resistance due to lack of lubrication. The mechanism was cleaned and lubricated appropriately, restoring smooth and consistent plunger movement.

Following the reassembly, the device underwent operational testing, and all functions were verified to be working correctly. The syringe pump is now fully functional and ready for clinical use."
Vibrator,,,Device non-functional,"Initial inspection revealed that the attachment point between the vibrator head and the main body of the device was broken. Upon further disassembly, it was observed that the internal piston connecting the motor to the vibrator head was also damaged, with structural breakage preventing effective movement and function.

Due to the nature and extent of the damage, the broken components could not be repaired or securely reattached. Based on this, the device has been concluded to be discarded."
Vibrator,,,Reported to be non-functional,"Upon inspection, it was found that the device failed to power on. The unit was disassembled, and voltage measurements confirmed that the device was not receiving proper supply voltage. There was a discontinuity in the wore which was then securely reconnected.

However, the motor still did not operate. Further inspection revealed that the potentiometer, which controls the motor speed, had a cold solder joint. This poor solder connection was preventing proper electrical contact, thereby causing the malfunction.

The potentiometer was carefully  
re-soldered to ensure a secure connection. After the reassembly, the device was powered on and tested. The motor operated normally, and the speed could be smoothly adjusted using the rotating control knob"
Vibrator,,,Device not powering on,"The device failed to power on when connected to a functioning power supply. Upon disassembly, it was found that the internal wire connecting the power input to the control board and motor had become detached, resulting in a loss of electrical continuity. Additionally, the potentiometer responsible for controlling vibration intensity was tested and found to be defective, displaying abnormally high resistance and failing to regulate output.

The disconnected wire was resoldered securely, and the faulty potentiometer was replaced with a new, functional component. Following the reassembly, the device was tested and verified to power on and operate normally, with full control over vibration intensity restored."
Patient Monitor,Schiller,TRUSCOPE Ultra Q7,Anomalies were observed in the ECG waveform display,"A thorough inspection of the ECG cable was conducted. The cable's integrity was tested using waveform interference in water, confirming that the cable was fully functional.

Further investigation revealed that the issue stemmed from an incorrect ECG configuration on the patient monitor, which resulted in inaccurate waveform interpretation and falsely indicated tachycardia.

The ECG settings were reconfigured to match the appropriate patient parameters. The device is fully operational."
Patient Monitor,Schiller,TRUSCOPE Ultra Q7,The patient monitor was reported to have issues with displaying both NIBP and SpO₂ readings.,"Upon inspection, it was found that the SpO₂ probe was non-functional — the internal light source was not illuminating. To verify whether the issue originated from the probe or the monitor, a known functional SpO₂ probe was connected. The monitor successfully displayed accurate SpO₂ readings, confirming that the fault lies with the original SpO₂ probe, which now requires replacement.

Simultaneously, the issue with the NIBP reading was traced to a loose connection between the BP cuff and the connecting cable leading to the monitor. After securely reconnecting the cuff, the NIBP readings were successfully displayed."
ECG Machine,Biocare,iE6,"The ECG machine was reported to produce continuous artifacts in the waveform, which hindered accurate interpretation during patient monitoring. ","A detailed inspection of the ECG cable revealed damaged insulation on both the main cable and the individual leads, along with a breakage in the cable itself. This damage was allowing external electrical interference to distort the ECG waveform. In addition, there was a significant accumulation of conductive gel residue on the leads and electrodes, which was degrading the quality of the electrode–skin interface and further contributing to the signal noise.

The damaged cable and leads were properly insulated and secured to prevent further interference. All leads and electrodes were thoroughly cleaned to remove the conductive gel build-up. After that, the ECG machine was re-tested. The waveform output was found to be stable, clear, and free of artifacts, confirming the resolution of the issue."
Surgical Microscope,Corder,ASOM-05,Installation,"The surgical microscope was fully assembled by connecting all designated components according to the manufacturer's specifications. Following assembly, a comprehensive functionality test was conducted. All optical, mechanical, and illumination systems were verified for proper performance. The microscope was found to be operating within expected parameters and is now ready for clinical use in the OT."
X-Ray Machine,Allengers,Allengers-525,"The collimator light was non-functional, which affected the ability to accurately visualize and align the X-ray field.","The equipment was thoroughly inspected to identify the root cause of the issue. It was found that the fuse supplying power to the LBD was faulty. The defective fuse was replaced with a new, compatible unit. Additionally, the power wire connected to the collimator light was found to be disconnected from the connector; this was securely re-soldered to restore proper electrical contact. Further inspection revealed that the internal mirror within the collimation assembly was misaligned. The mirror was carefully realigned through the designated adjustment port to ensure the projected light field matched the X-ray exposure area.

After completing these corrective actions, the collimator light became functional, and the system was tested to verify that the light field and exposure field were properly aligned. The X-ray machine is now fully functional."
Syringe Pump,Smiths Medical,Graseby C9,Reported to be non-functional.,The device reported to have a system error 4 which remained unresolved even after resetting the machine and the internal connections. The error was due to the fault in the main board itself. 
Syringe Pump,Smiths Medical,Graseby C9,Reported to be non-functional.,The device reported to have a system error 4 which remained unresolved even after resetting the machine and the internal connections. The error was due to the fault in the main board itself. 
Syringe Pump,Smiths Medical,Graseby C9,Reported to be non-functional.,The device reported to have a system error 9 and transmission error which remained unresolved even after resetting the machine and the internal connections. The error was due to the fault in the main board itself. 
Syringe Pump,Smiths Medical,Graseby C9,Reported to be non-functional.,"The device reported to have a system error 4 which remained unresolved even after resetting the machine and the internal connections. The error was due to the fault in the main board itself. Additionally, the LCD panel and the dispaly board is non-functional because of which the display is in chinese language."
Nebulizer,Niscomed,NB-117,Device not powering on due to disconnected wire.,"The nebulizer was inspected, and found that the wire was disconnected from the power cord, preventing the supply to the unit. The wire was reconnected securely. After reconnection, the device was powered on and tested. The machine is now working optimally."
Nebulizer,Optima Care,,Device not turning on.,"Upon internal inspection, it was found that the piston was disconnected from the motor, which prevented proper operation. The piston was reconnected securely to the motor. Functional testing was performed, and the device is now operating normally."
Ventilator,Hamilton,C1,Reported to be non-functional.,"The ventilator was initially inspected and both the leak test and flow sensor test passed successfully. However, when ventilation was initiated on the test lung, the ventialtor failed to deliver the set tidal volume and displayed a high leakage percentage.  A detailed examination of the exhalation valve assembly revealed that the diaphragm had cecomw displaced from its position. In addition, the residue deposits were cleaned as well. After which, the ventilator was tested on test lung and it successfully delivered the set tidal volume."
USG Machine,Mindray,M7,No charging.,"Upon inspection, the power adapter was found to produce abnormal sound when connected to the power cable, and no DC output voltage was detected. The SMPS was opened for detailed examination and found that the connector on the SMPS board had become desoldered. The faulty connector was carefully removed and replaced with the new connector. The SMPS then successfully produced the DC voltage."
ECG Machine,Philips,PageWriter TC20,Artifacts in ECG waveform.,"During inspection, it was observed that one of the ECG waveforms appeared in yellow instead of the standard green display.

A visual check of the ECG cable and suction electrodes revealed a significant accumulation of conductive gel residue. 

All electrodes and leads were thoroughly cleaned to remove the residue, after which the ECG signal was re-tested. Post-cleaning, the waveform artifacts were no longer present.

Additionally, one suction electrode was physically damaged, making secure attachment to the patient’s chest difficult.Although the damaged component was temporarily repaired by glue, it is not a permanent solution and may affect long-term reliability. Replacement of the defective suction electrode is strongly recommended."
X-ray Printer,Fuji,DryPix Smart,"The X-ray printer was reported as non-functional. While the unit powers on, it does not proceed to the “Ready” state, preventing any printing operations.","The supplier’s technical team inspected the machine. The printer was disassembled, dust accumulation was cleaned, and all internal cable connections were checked and re-seated. Despite these efforts, the issue persisted, and the unit remained unable to initialize.

Findings:
Based on the supplier’s diagnosis, the fault is traced to the CPU32A board assembly, which is essential for system operation. Replacement of this board is required to restore normal functionality. 

After replacing the above mentioned boards, the machine was functional."
Syringe Pump,Smiths Medical,Graseby C9,Syringe plunger open alarm.,"The syringe pump was inspected for the reported “syringe plunger open” alarm. The unit was disassembled, and mechanical inspection of the plunger mechanism revealed that the internal gear had been displaced from its proper position, preventing the secure engagement of the syringe plunger.

The gear mechanism was realigned and reassembled carefully to ensure proper movement and locking of the plunger assembly. Once reassembled, the syringe pump was powered on, and functional tests were conducted. The alarm no longer appeared, confirming that the issue had been resolved.

The syringe pump is now fully functional."
Syringe Pump,Smiths Medical,Graseby C9,"No display, transmission error, and system error 7","Upon inspection, the syringe pump was found to have a display malfunction. The unit was disassembled, and residue deposition was observed on the ribbon cable. The cable was cleaned and reconnected, which restored the display function.

During subsequent functionality testing, the device displayed a transmission error and system error 7. Further inspection revealed misalignment in the syringe plunger gear mechanism, which was realigned securely. It was also identified that the circuit board connecting the syringe plunger to the main board was defective. The faulty board was replaced using a compatible part from another non-functional syringe pump.

After replacement and reassembly, the device was tested and found to be operating normally."
Syringe Pump,Smiths Medical,Graseby C9,System error 6 and transmission error,"The syringe pump was inspected, and all internal connections were reset, which resolved the System Error 6. However, the transmission error persisted and was traced to a misaligned syringe plunger mechanism and a faulty interface board connecting the plunger mechanism to the main board.

The gear mechanism was realigned securely, and the defective board was replaced using a compatible part from another non-functional syringe pump. After reassembly, the device was thoroughly tested and found to operate normally without any error messages.
"
Syringe Pump,Smiths Medical,Graseby C9,Syringe lunger open alarm,"During syringe loading and testing, the syringe pump consistently displayed a “Syringe Plunger Open” error. A detailed inspection revealed that the plunger gear mechanism was misaligned, preventing proper engagement with the syringe holder.

The gear assembly was realigned securely, and all internal connections were reset and reconnected. Following the reassembly, the pump was tested .and operated without any errors."
Syringe Pump,Smiths Medical,Graseby C9,Reported to be non-functional.,"Upon inspection, the syringe pump failed to operate or respond during power-on testing. A detailed internal examination revealed that the  connector linking the syringe plunger mechanism to the main control board was damaged.

The damaged connector was replaced with a compatible one, and all related connections were checked and secured. After the reassembly, the syringe pump was tested for functionality. The device operated normally without any errors."
OT Light,,,No illumination,"The OT light from the OT department, which was reported to be non-functional, was inspected and found to have a damaged SMPS, causing a complete power failure to the unit. The issue has been resolved, and the OT light was tested for illumination. The unit is now fully functional"
Ventilator,Hamilton,C1,Pre-operational test failed.,"The ventilator was reported to have failed its pre-operational test. Upon inspection, it was observed that both the leak test and the flow sensor test did not pass. Initially, the flow sensor was replaced with a compatible one; however, the issue persisted. The exhalation valve diaphragm had become displaced from its proper seating, and residue deposition was noted within the valve housing. 

The exhalation valve and diaphragm were cleaned, and the diaphragm was properly repositioned. The ventilator was subjected to a complete pre-operational test sequence. All tests, including the leak test and flow sensor calibration, were successfully passed."
Ventilator,Hamilton,C1,Failed pre-operational test.,"The ventilator was reported to have failed its pre-operational test. Upon inspection, it was noted that both the leak test and the flow sensor test did
not pass. A detailed examination of the exhalation valve assembly revealed residue buildup on the valve housing and diaphragm.

The exhalation valve was carefully disassembled, and the residue was thoroughly cleaned from both the valve housing and diaphragm. After this, the ventilator was subjected to another pre-operational test. The test was successfully completed, and the ventilator is fully functional."
USG Machine,Mindray,M7,No charging,"Upon inspection, the power adapter was found to produce an abnormal sound when connected to the power cable, and no DC output voltage was detected. The SMPS was opened for detailed examination. It was identified that the connector on the SMPS board had become desoldered, and further inspection revealed physical damage to the connector itself.

The faulty connector was carefully removed and replaced with a new connector, which was then securely resoldered onto the SMPS board. After the repair, the SMPS successfully delivered the required DC output voltage. The machine was tested and confirmed to be charging properly and is now fully functional."
Immunoassay Analyzer,Snibe,MAGLUMI X3,Unable to perform tests.,"The analyzer was reported to be unable to perform tests, displaying an error likely related to a blockage in the internal fluid pipeline. Upon inspection, the suspected pipeline was disconnected, and thoroughly cleaned using distilled water flushed multiple times with a syringe to remove any possible clog or residue buildup.

After multiple flushing cycles, a pipeline test was conducted, and all measured parameters were found to be within the acceptable operational range. Subsequently, a sample test was performed which was completed successfully without any interruptions."
Mammogram,Allengers,,Non-functional display panel,"Upon powering the mammogram, it was observed that the display panel responsible for indicating weight, and angulation readings was non-functional. A detailed inspection was carried out during which the machine was carefully disasembled to access the display assembly.

It was found that the connector responsible for transmistting signals to the display panel had become detached which was securely reattached. 

After the reassembly, thr display panel functioned normally."
Chest Vibrator,,,Power issues.,"The unit did not turn on when connected to the power supply. On disassembly, a disconnected wire was found to have caused the power interruption. The wire was resoldered and securely reconnected to the power plug. After testing, the unit powered on and functioned normally."
ECG Machine,Philips, PageWriter TC20,Artifacts in ECG waveform.,"The disgnostic test was conducted to check any lead connectivity isues, however, no lead shortages were detected. Further inspection, revelaed significant accumulation of conductive gel on the electrodes and leads. 

All electrodes and leads were thoroughly clenaed to remove the residue. The functionality of the ECG leads  by perofrming waveform interference in water which confirmed that ECG waveform was free from artifacts.

The machine was found to be operating normally."
Slit Lamp,,,No illumination,"Upon inspection, it was observed that the slit lamp failed to illuminate when powered on. The fuse functionality was tested and found to be intact. The supply voltage to the bulb socket was measured and confirmed to be within the specified operating range, indicating no issues with power supply. Further examination revealed that the bulb was burnt out. The defective bulb was replaced after which the illumination was restored successfully."
Sphygmomanometer,,,Unable to maintain air pressure.,"The sphgmomanometer was inspected and found to have a jammed air release valve. Additionally, the air leakage was observed at the tube connectors. The air release valve was loosened and the damaged section of the tubing near the connecor was cut and reattached. After these, the device successfully maintained air pressure within the cuff and the pressure raedings were verified to be accurate."
Patient Bed,,,Reported to be non-functional.,"Upon inspection, the remote control was unresponsive even after connecting the bed to the power supply. Further examination revealed that the power had been disconnected. The cable was securely reconnected, restoring the functionality.

However, the patient bed could not be adjusted despite unlocling the mechanical lock. Detailed inspection showed that the movement mechainsm was jammed and that a screw securing the locking assembly was missing. The mechanism was lubricated and the missing screw was replaced and tightened securely."
Ultrasound Therapy Unit,HMS Medical Systems,ULT100a,Reported to be non-functional,"Upon inspection, it was found that the wire at the transducer connector end had become detached, and the unit failed to power on despite being connected to the mains supply. Further examination revealed a blown fuse, which had interrupted the power circuit. The damaged fuse was replaced with a new one of appropriate rating, restoring power to the unit.

The disconnected transducer wire was then securely re-soldered to the connector terminal. Following reassembly, the transducer was reconnected to the main unit, and a functional test was performed. The output intensity was observed to increase linearly with the control setting, indicating proper ultrasonic output and system functionality."
ABG Machine,Instrumentation Laboratory,GEM Premier 3500,Failed to warm up the new cartridge.,"The ABG machine failed to warm up the newly installed cartridge and displayed “Cartridge Error 1.11,” instructing to remove and discard the cartridge. Despite replacing it with a new one, the different type of cartridge error persisted. Subsequently, the device was replaced with another unit, and all necessary settings were reconfigured. After inserting a new cartridge, the machine successfully completed the warm-up process and performed analysis normally."
Syringe Pump,Smiths Medical,Graseby C9,Syringe Plunger Open,"The device displayed a “Syringe Plunger Open” alarm despite the plunger being properly closed. The syringe pump was disassembled, and the plunger gear mechanism was inspected and realigned. All internal connections were also checked and securely reset. After reassembly, the device no longer displayed the plunger open alarm and functioned normally."
Syringe Pump,Smiths Medical,Graseby C9,System Error 6,"Upon testing, the device displayed “System Error 6.” The syringe pump was disassembled, and the ribbon cable was cleaned and securely reconnected. The gear mechanism was also inspected, realigned, and all internal connections were properly reset. After reassembly, the device was tested and no longer displayed the error, functioning normally."
Centrifuge,Remi,Medico Plus,Lid open error,"During inspection, it was found that the washer was broken, causing the centrifuge to produce an abnormal noise during operation. The damaged washer was replaced; however, the device subsequently displayed a “Lid Open” error despite the lid being securely closed. On further inspection, the lid sensor was removed and found to have broken pins, preventing proper detection of the closed lid. The defective lid sensor was replaced, after which the centrifuge operated normally. The machine is now fully functional."
Ventilator,Hamilton,C1,Failed leak test during pre-operational check.,"During pre-operational testing, the ventilator failed the leak test. Inspection of the exhalation valve revealed significant residue buildup on both the valve housing and diaphragm, which was likely obstructing proper sealing. The components were thoroughly cleaned and reassembled. The pre-operational test was repeated, and the device successfully passed both the leak test and flow sensor test.

However, upon initiating ventilation with a test lung, a high leakage percentage was observed, and the ventilator failed to deliver the set tidal volume. Further investigation identified the source of leakage at the oxygen delivery pipeline connection. The connection was properly secured, eliminating the leakage.

After corrective action, the ventilator was retested and performed all functional checks successfully."
Defibrillator,Mindray,Beneheart D3, Paddle failure,"The defibrillator displayed a paddle failure alarm and did not pass the routine test. Upon inspection, conductive gel buildup was found on the paddle surface, preventing proper detection by the system. The paddle was thoroughly cleaned, after which the defibrillator successfully passed both the routine and energy delivery tests, confirming normal functionality."
Infusion Pump,Smiths Medical,Graseby 1200,,"The infusion pump repeatedly displayed an occlusion alarm, interrupting infusion delivery. Upon inspection, the issue was traced to incorrect settings configuration. The settings were reconfigured, and the pump was recalibrated.
After recalibration, the infusion pump was functionally tested and operated optimally, confirming resolution of the issue."
Infusion Pump,Smiths Medical,Graseby 1200,Reported to be non-functional,"The infusion pump repeatedly displayed an occlusion alarm, interrupting infusion delivery. Upon inspection, the issue was traced to incorrect settings configuration. The settings were reconfigured, and the pump was recalibrated.
After recalibration, the infusion pump was functionally tested and operated optimally, confirming resolution of the issue."
TENS Machine,Sun Medisys,Dyno Plus,No output observed on one of the channels,"The device was disassembled and found to have a disconnected wire at one of the output ports, which was resoldered securely. However, the issue persisted. Further continuity testing revealed loose wire connections at the connector, leading to loss of output. The wires were securely reattached to the connector.
Upon functionality testing, proper output was observed across all four channels, confirming the issue was resolved."
Fetal Doppler,BPL,,No charging,"The fetal doppler did not charge despite being connected to the power supply. The power adapter was inspected and found to have no output voltage. The fault within the adapter was rectified, after which the fetal doppler began charging normally.
Functionality testing confirmed that the device operated properly following the repair."
Anesthesia Machine,Datex-Ohmeda,M-904E,Tidal volume not displayed on the screen,"The patient circuit connections were checked and found to be functioning properly. The flow sensor was then inspected and found to have residue buildup, which interfered with accurate tidal volume measurement. The flow sensor was thoroughly cleaned, and a minor leakage observed at the port was securely tightened.
Upon functionality testing, the ventilator displayed tidal volume readings accurately in accordance with the bellows movement, confirming resolution of the issue."
ECG Machine,Philips,PageWriter TC20,Artifacts in ECG waveform,"A diagnostic test was conducted to check for any lead connectivity issues; however, no lead shortages were detected. Further inspection revealed significant accumulation of conductive gel residue on the suction electrodes and ECG leads. This resulted in artifacts on the ECG waveform.

All electrodes and leads were thoroughly cleaned to remove the residue. The functionality was subsequently verified by performing a waveform interference test in a water, which confirmed that the ECG waveform was free from artifacts.

The ECG machine was found to be operating normally, and the issue with waveform artifacts has been successfully resolved."
Patient Bed,,,Remote control unresponsive,"During inspection, it was verified that the power cable was supplying the required AC input voltage. However, no DC output was detected from the power board, indicating a possible internal fault. A detailed component-level check revealed that a wire at the output section was loosely connected. This was resoldered to restore proper contact.

Further testing also identified a connector on the power board that was loosely attached, as confirmed through continuity testing. This connector was resoldered to ensure a stable and reliable connection.

Following these corrective measures, a stable 32V DC output was observed from the power board. All cables were then reconnected, and the bed was tested for functionality. The remote control responded appropriately, and all bed adjustment movements operated smoothly."
ECG Machine,BPL,Cardiart 9108D,New machine installation,"A new ECG machine was installed in the Emergency Department. The lead configuration, filter, and printer settings were properly adjusted. The functionality of the ECG cable was verified. User training and guidance were provided on the proper operation of the device."
Patient Monitor,Schiller,TRUSCOPE Ultra Q7,No SpO₂ and NIBP readings,"The SpO₂ probe was inspected and found functional; however, the SpO₂ waveform was not displayed on the monitor due to incorrect configuration settings. The settings were reconfigured to the correct parameters, resolving the issue. Additionally, the NIBP reading was absent due to a leakage in the NIBP hose, which was repaired. After correction, both SpO₂ and NIBP readings were displayed accurately on the patient monitor."
Infant Radiant Warmer,Shreeyash,,Reported to be non-functional,"Upon inspection, the Infant Radiant Warmer did not power on despite proper connection to the power supply. The power fuse was checked and found to be intact. Further inspection revealed that the main power switch was defective, preventing power from reaching the internal circuitry. The faulty switch was replaced with a new one, after which the unit powered on successfully. The warmer was tested for heater functionality and temperature regulation, and both were found to be operating normally. The device was confirmed to be fully functional and returned to service."
Syringe Pump,Smiths Medical,Graseby C9,System Error 6,"The syringe pump was disassembled for internal inspection following the display of System Error 6. The ribbon cable was tested and found to be functional. Further examination revealed a misalignment in the syringe drive gear mechanism, which was causing operational error. The internal connections were reset, and the gear mechanism was realigned and secured properly. After reassembly and testing, the syringe pump powered on without displaying System Error 6 and completed its functional checks successfully. The device is now operating normally and ready for clinical use."
Sphygmomanometer,,,"Reported to be non-functional
","Inspection revealed that the manometer needle had become displaced within the dial, causing inaccurate pressure indication. The needle was realigned and secured properly. After reassembly, the device was tested and confirmed to display accurate pressure readings, restoring normal functionality."
View Box,,,No illumination.,"The view box was inspected, and the voltage at the LED driver was checked, revealing no supply voltage. Further inspection identified a faulty power switch as the cause. The defective switch was replaced, after which the output voltage at the LED driver was measured and found to be within the normal range. Upon reconnecting all wire connections, the view box illuminated properly, confirming successful restoration of functionality."
